CASE_STATUS	EMPLOYER_NAME
CERTIFIED	SPOTIFY USA INC.
CERTIFIED	"CAMBRIDGE INSTITUTE OF CHINA BUSINESS RESEARCH, INC."
CERTIFIED	"SHAW DEVELOPMENT, LLC"
CERTIFIED	COMMSCOPE CONNECTIVITY SOLUTIONS LLC
CERTIFIED	"MOBILITIE, LLC"
CERTIFIED	"HARMAN CONNECTED SERVICES, INC."
CERTIFIED	"INDEGENE HEALTHCARE, LLC"
CERTIFIED	KERRY INC.
CERTIFIED	"SONNICK PARTNERS, LLC D/B/A SILVERLINE"
CERTIFIED	UJALA ENTERPRISES LLC
CERTIFIED	VENTUREBEAT INC.
CERTIFIED	THE PERRYMAN COMPANY
CERTIFIED	"CELLULAR PRODUCTS DISTRIBUTORS, INC."
CERTIFIED	"TAPTICA, INC."
CERTIFIED	QUANTUM CORPORATION
CERTIFIED	"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC."
CERTIFIED	"ENTERPRISE SOLUTIONS, INC."
CERTIFIED	VOLKSWAGEN ALHAMBRA
CERTIFIED	BALT TRADE LLC
CERTIFIED	"WILSON DOW GROUP, INCORPORATED"
CERTIFIED	"FIRSTLINE GENERAL INSURANCE AGENCY, INC."
CERTIFIED	"HUMECA, INC."
CERTIFIED	"STRYKER INSTRUMENTS, A DIVISION OF STRYKER CORPORATION"
CERTIFIED	"KPIT INFOSYSTEMS, INC."
CERTIFIED	"ENERGY RECOVERY, INC."
CERTIFIED	REFORMATION HERITAGE BOOKS
CERTIFIED	"ETRO USA, INC."
CERTIFIED	"DOMIAN ASPHALT PAVING & CONSTRUCTION CO, INC."
CERTIFIED	"IBASIS, INC."
CERTIFIED	"FITBIT, INC."
CERTIFIED	"KALE SOFTECH, INC."
CERTIFIED	5 NORTH INC.
CERTIFIED	CSI SOLAR INC.
CERTIFIED	DHARAMJEEVAN FOREVER LLC
CERTIFIED	"DIGITAL INTELLIGENCE SYSTEMS, LLC"
CERTIFIED	"HZO, INC."
CERTIFIED	"CITIBANK, N.A."
CERTIFIED	"AUTOMATED LOGISTICS SYSTEMS, LLC"
CERTIFIED	"FRONTAGE LABORATORIES, INC."
CERTIFIED	"EVENFLO COMPANY, INC."
CERTIFIED	ADVANCED POWER GROUP CORPORATION
WITHDRAWN	WNS NORTH AMERICA INC.
CERTIFIED	"KNOWLEDGELINK GROUP, INC."
CERTIFIED	HERMLE NORTH AMERICA
CERTIFIED	COX COMMUNICATIONS CALIFORNIA LLC
CERTIFIED	"ADAM INFORMATION TECHNOLOGIES, LLC"
CERTIFIED	"B4U UPPER MARLBORO, INC."
CERTIFIED	"MAPBOX, INC."
CERTIFIED	CIBC WORLD MARKETS CORP
CERTIFIED	INMOBI INC.
CERTIFIED	"ROSY BLUE, INC."
DENIED	"FULLSTACK ACADEMY, INC."
CERTIFIED	KARVY GLOBAL SERVICES INC.
CERTIFIED	"PORSCHE CARS NORTH AMERICA, INC."
CERTIFIED	DIAMONDS UNLIMITED INC.
CERTIFIED	"WRIST NORTH AMERICA, INC."
CERTIFIED	ALLFLIGHT CORPORATION
CERTIFIED	CRMIT SOLUTIONS INC
CERTIFIED	"DOCKWISE USA, LLC"
CERTIFIED	WNS NORTH AMERICA INC.
CERTIFIED	"DHL EXPRESS (USA), INC."
CERTIFIED	"CAVITY SLIDERS USA, INC."
CERTIFIED	"IXL CENTER, INC."
CERTIFIED	"IVC US, INC."
CERTIFIED	RECHERCHE NEW YORK CORPORATION
CERTIFIED	DILLINGER AMERICA INC.
CERTIFIED	JS LED TECHNOLOGY CORPORATION
CERTIFIED	"PEOPLEASE, LLC"
CERTIFIED	ISOFTECH INC
CERTIFIED	"CRESSI-SUB USA, INC."
CERTIFIED	"ARKITERV, INC."
CERTIFIED	"CIVICSOLAR, INC."
CERTIFIED	"TANVI IT SOLUTIONS, INC"
DENIED	NEXST CALIFORNIA INC.
DENIED	CALIPER
CERTIFIED	LARSEN & TOUBRO INFOTECH LIMITED
WITHDRAWN	CALIPER
CERTIFIED	"YASH TECHNOLOGIES, INC."
CERTIFIED	"TRADE TECH, INC."
CERTIFIED	"CHARMS INTERNATIONAL, INC."
CERTIFIED	IDEAPOKE INC.
CERTIFIED	"ENTERPRISE SOLUTIONS, INC."
CERTIFIED	RENA BIOTECHNOLOGY INTERNATIONAL CORPORATION
CERTIFIED	"GOODLUCK USA, INC"
CERTIFIED	WORLD WIDE TRAVEL INC
CERTIFIED	SEBIA INC
CERTIFIED	"OUHLALA GOURMET, CORP."
CERTIFIED	"PRODIGY NETWORK MIAMI, LLC"
CERTIFIED	EMC CORPORATION
CERTIFIED	"ENTERPRISE SOLUTIONS, INC."
CERTIFIED	UNIVERSAL PROCESSING LLC
WITHDRAWN	ANDERSON BONELESS BEEF INC
CERTIFIED	JASMINE TAN
CERTIFIED	UNIVERSAL PROCESSING LLC
CERTIFIED	A & A COMPUTERS INC.
CERTIFIED-WITHDRAWN	"SERCO GLOBAL SERVICES, LLC"
CERTIFIED	HUBSPOT INC.
CERTIFIED	ZENITH TALENT CORPORATION
CERTIFIED	R3CEV LLC
CERTIFIED	ACE HEALTH CONSULTANT LLC
CERTIFIED	"INDEGENE, INC"
CERTIFIED	ORIGAL LLP
CERTIFIED	"PRICOL TECHNOLOGIES, INC."
CERTIFIED	"FISERV SOLUTIONS, LLC"
CERTIFIED	"INDEGENE HEALTHCARE, LLC"
CERTIFIED	"VISITORSCOVERAGE,INC."
CERTIFIED	"QIN'S INTERNATIONAL, INC."
CERTIFIED	"ITC INFOTECH (USA), INC."
CERTIFIED	"VIGNA SOLUTIONS, INC."
CERTIFIED	"TOKAI PRECISION AMERICA, LTD."
DENIED	"CAF, INC."
CERTIFIED	"INTERNATIONAL COMMUNICATIONS ASSOCIATES, INC."
CERTIFIED	APEX SERVICE INC
CERTIFIED	STONE BASYX LLC
CERTIFIED	"AINSWORTH GAME TECHNOLOGY, INC."
CERTIFIED	"HOLSTEIN AVIATION, INC."
CERTIFIED	"POWWOW, INC."
CERTIFIED	WORLD WIDE TRAVEL INC
CERTIFIED	RAJ TRADING & IMPORTS USA INC
CERTIFIED	"TOKAI PRECISION AMERICA, LTD."
CERTIFIED	"CHECKPOINT SYSTEMS, INC."
CERTIFIED	EVERSHINE JEWELERY REPAIRS INC
CERTIFIED	TRINUS CORPORATION
CERTIFIED	"AKDY IMPORTS, LLC"
CERTIFIED	"GOODRIDGE USA, INC."
CERTIFIED	MPHASIS CORPORATION
CERTIFIED	CASL TECH INC.
CERTIFIED	CALIPER
WITHDRAWN	VIS SOFTWARE SOLUTIONS INC.
CERTIFIED	FLAMTECH APPLIANCE INC.
CERTIFIED	NATURAL HEALTH TRENDS CORP
CERTIFIED	"SPARTAN MOTORS USA, INC."
CERTIFIED-WITHDRAWN	"SCHNEIDER ELECTRIC USA, INC."
CERTIFIED	"INTIGUA, INC."
WITHDRAWN	NATURAL HEALTH TRENDS CORP
CERTIFIED	CALIPER
DENIED	"CHAMSA, INC."
CERTIFIED	A & A COMPUTERS
CERTIFIED	SHINWON EBENEZER USA INC
CERTIFIED	OSRAM SYLVANIA INC.
CERTIFIED	MERSEN USA BN CORP
CERTIFIED	"FOREVER LINK INTERNATIONAL, INC."
CERTIFIED	"TECH MAHINDRA (AMERICAS),INC."
CERTIFIED	VIS SOFTWARE SOLUTIONS INC.
CERTIFIED	UNIVERSAL PROCESSING LLC
CERTIFIED	WORLDVIZ LLC
CERTIFIED	"TOP GUY INT'L TRADING, LLC"
WITHDRAWN	"REACH SPORTS MARKETING GROUP, INC."
CERTIFIED-WITHDRAWN	AMERICAN BUSINESS SERVICES LLC
CERTIFIED	MAGIC DEVELOPMENT LLC
CERTIFIED	"SICK, INC."
CERTIFIED	CTL PACKAGING USA INC.
CERTIFIED	ARGON MEDICAL DEVICES INC.
CERTIFIED	"INVISIBLE SENTINEL, INC."
CERTIFIED	HULO LLC
CERTIFIED	RAJA FOODS OF HOUSTON LLC.
CERTIFIED	"TAESEOB & YOUNG'S MISSION BEAUTY, INC."
CERTIFIED	"FLATIRON HEALTH, INC."
CERTIFIED	"PALMETTO MOON, LLC"
CERTIFIED	TOUCHBASE GLOBAL SERVICES INC
CERTIFIED	"TRANSNATIONAL FOODS, INC."
WITHDRAWN	"CUTRITE SURGICAL SUPPLY, INC."
CERTIFIED	EVERSHINE JEWELERY REPAIRS INC
CERTIFIED	"AV STEEL, INC."
CERTIFIED	BELLY BUDS LLC
CERTIFIED	"HARMAN CONNECTED SERVICES, INC."
CERTIFIED	UNIVERSAL PROCESSING LLC
CERTIFIED	HORIZON TRAVEL LLC
CERTIFIED	UK INTERNATIONAL SOCCER CAMPS
CERTIFIED	"MARS, INCORPORATED"
CERTIFIED	"IBIZ SOFTWARE, INC."
CERTIFIED	KERRY INC.
CERTIFIED	VEGLAND FARM LLC
CERTIFIED	PAMPA BEVERAGES LLC
CERTIFIED	"PIONEER PAPER STOCK CO. OF TEXAS, INC."
CERTIFIED	SHINWON EBENEZER USA INC
CERTIFIED	CHINESE NEW MEDIA LLC
DENIED	"RAO GROUP, INC"
CERTIFIED	CALSOFT PRIVATE LIMITED
CERTIFIED-WITHDRAWN	"PANOPTIS PATENT MANAGEMENT, LLC"
CERTIFIED	HOUSEHOLD FURNITURE CO. LP
CERTIFIED	KEMLINK USA INC.
CERTIFIED	LABWARE LATIN AMERICA INC.
CERTIFIED	ANDERSON BONELESS BEEF INC
CERTIFIED	"CHAMSA, INC"
CERTIFIED	"MIXPANEL, INC."
CERTIFIED	ZOLTEK CORPORATION
CERTIFIED	"NATIVEX, LLC"
CERTIFIED	"33RD STRIKE GROUP, LLC"
CERTIFIED	"AA TECH SOLUTION, INC."
CERTIFIED	"SIEMENS ENERGY, INC."
CERTIFIED	"DOOSAN INFRACORE INTERNATIONAL, INC."
DENIED	"RAO GROUP, INC"
CERTIFIED	VERINT SYSTEMS INC.
CERTIFIED	"CUTRITE SURGICAL SUPPLY, INC."
CERTIFIED	"ONE WORKPLACE L. FERRARI, LLC"
CERTIFIED	"BROADSOFT, INC."
CERTIFIED	"MEDIAMATH, INC."
CERTIFIED	"33RD STRIKE GROUP, LLC"
CERTIFIED	KAMAKURA CORPORATION A DELAWARE CORPORATION
CERTIFIED	BONJOUR USA INC.
CERTIFIED	TECH PIONEER IT SOLUTIONS INC
CERTIFIED	CADI COMPANY INC.
DENIED	TRIVERA NORTH AMERICA LLC
CERTIFIED	TECH PIONEER IT SOLUTIONS INC
CERTIFIED	TECH PIONEER IT SOLUTIONS INC
WITHDRAWN	"VALUELABS, INC."
DENIED	"RAO GROUP, INC"
CERTIFIED	ZOLTEK CORPORATION
CERTIFIED	VIACOM INTERNATIONAL INC.
CERTIFIED	"GENTELL, INC."
CERTIFIED	FEI COMPANY
WITHDRAWN	"VALUELABS, INC."
CERTIFIED	"MICRON SEMICONDUCTOR PRODUCTS, INC."
CERTIFIED	UNIVERSAL PROCESSING LLC
CERTIFIED	"SASKEN COMMUNICATION TECHNOLOGIES, LTD."
CERTIFIED	KIK US INC.
CERTIFIED	"RAO GROUP, INC"
CERTIFIED	"AIRBUS AMERICAS, INC."
CERTIFIED	RAO GROUP
CERTIFIED	SPAN SYSTEMS CORPORATION
DENIED	WOOBO LLC
CERTIFIED	"ATTACK PATTERN, LLC"
CERTIFIED	"BRITISH HERITAGE BRANDS, INC."
CERTIFIED	"VALUELABS, INC."
CERTIFIED	"CAF, INC."
CERTIFIED	"ESSENTIAL TECHNOLOGIES, INC.,"
CERTIFIED	"TECH MAHINDRA (AMERICAS), INC."
CERTIFIED	BRUECKNER GROUP USA INC.
CERTIFIED	"VALUELABS, INC."
CERTIFIED	BODHTREE SOLUTIONS INC
CERTIFIED	"SONNEN, INC."
CERTIFIED	ECOM SOLUTIONS INC
CERTIFIED	RAO GROUP
CERTIFIED	"FLATIRON HEALTH, INC."
CERTIFIED	"VALUELABS, INC."
CERTIFIED	"METTLER-TOLEDO, LLC (DBA METTLER-TOLEDO PRODUCT INSPECTION DIVISION)"
CERTIFIED	O K COMMUNICATION INC
CERTIFIED	"NETENRICH, INC."
CERTIFIED	"ISPACE, INC."
CERTIFIED	"TREVIRA NORTH AMERICA, LLC"
CERTIFIED	"MEGAN SOFT, INC."
CERTIFIED	"KAPLAN, INC."
CERTIFIED	"FLEXTON, INC."
CERTIFIED	"DYNAMIC SOFTWARE CONSULTANTS, INC"
CERTIFIED	AMETHYST SYSTEMS LLC
CERTIFIED	"AGENUS, INC."
CERTIFIED	CAPITAL HOME CARE LLC
WITHDRAWN	"ALLSTARS GLOBAL TECHNOLOGIES, INC."
CERTIFIED	"ERVIN INDUSTRIES, INC."
CERTIFIED	CSI SOLAR INC.
CERTIFIED	WOOBO LLC
CERTIFIED	"FORTUNE PLASTIC & METAL MOUNTAIN STATES, LLC"
DENIED	"GLOBAL FORMING TECHNOLOGIES, LTD."
CERTIFIED	"POSTEA GROUP, INC."
CERTIFIED	MINDTREE LIMITED
CERTIFIED	"ORACLE AMERICA, INC."
CERTIFIED	LINGONBERRY GROUP USA INC.
CERTIFIED	DANE-ELEC CORP. USA
CERTIFIED	ALPHA ONE
DENIED	REGIO BLOCK INC
CERTIFIED	"GLOBAL FORMING TECHNOLOGIES, LTD."
CERTIFIED	"WESTROCK SERVICES, INC."
CERTIFIED	"FISERV CIR, LLC"
CERTIFIED	"AGRIFACT, LLC"
CERTIFIED	NEXST CALIFORNIA INC.
CERTIFIED	"DEPUY SYNTHES SALES, INC."
WITHDRAWN	NEXST CALIFORNIA INC.
CERTIFIED	HEADSTRONG SERVICES LLC
CERTIFIED	DIGITAL WINDOW INC.
CERTIFIED	CENTRO SPEDIZIONI INTERNAZIONALI LOGISTICS USA INC
CERTIFIED	HEADSTRONG SERVICES LLC
CERTIFIED	"CORNERSTONE INVESTMENT AGENCY II, LLC"
CERTIFIED	REGIO BLOCK INC
CERTIFIED	ACCENTURE LLP
CERTIFIED	ROCHE DIAGNOSTICS CORPORATION
CERTIFIED	ACCENTURE LLP
CERTIFIED	RAJA FOODS OF HOUSTON LLC
WITHDRAWN	HNI CORPORATION
CERTIFIED	IGATE TECHNOLOGIES INC.
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	"SIEMENS ENERGY, INC."
CERTIFIED	MELTWATER NEWS US1 INC.
CERTIFIED	GOOGLE INC.
CERTIFIED	MICROSEMI CORPORATION
CERTIFIED	HELM FERTILIZER CORPORATION
CERTIFIED	"PERSISTENT SYSTEMS, INC."
CERTIFIED	"ALTAIR PRODUCTDESIGN, INC."
CERTIFIED	AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS
CERTIFIED	HNI CORPORATION
CERTIFIED	THE DOW CHEMICAL COMPANY
CERTIFIED	"PERSISTENT SYSTEMS, INC."
CERTIFIED	FREUDENBERG-NOK GENERAL PARTNERSHIP
CERTIFIED	"KPIT INFOSYSTEMS, INC."
CERTIFIED	"INDEGENE, INC."
CERTIFIED	FREUDENBERG-NOK GENERAL PARTNERSHIP
CERTIFIED	GMG AMERICAS L.P.
CERTIFIED	"PERSISTENT SYSTEMS, INC."
CERTIFIED	"RICHEMONT NORTH AMERICA, INC."
CERTIFIED	"QUALCOMM ATHEROS, INC."
CERTIFIED	"KPIT INFOSYSTEMS, INC."
CERTIFIED	SALONCENTRIC INC.
CERTIFIED	"GIANT OF MARYLAND, LLC"
CERTIFIED	LENNOX INDUSTRIES INC.
CERTIFIED	INNOVA SEEDS CO
WITHDRAWN	IBM CORPORATION
CERTIFIED	IBM CORPORATION
CERTIFIED	CLARK EQUIPMENT COMPANY
CERTIFIED	GOOGLE INC.
CERTIFIED-WITHDRAWN	IBM CORPORATION
CERTIFIED	INTHINC TECHNOLOGY SOLUTIONS INC
CERTIFIED	KRONOS INCORPORATED
CERTIFIED	"GROUPON, INC."
CERTIFIED	"NAGARRO, INC."
CERTIFIED	S3 INTERNATIONAL LLC
CERTIFIED	"FIRMENICH, INC."
CERTIFIED	"HARMAN CONNECTED SERVICES, INC."
CERTIFIED	TECHNOGEN INC.
CERTIFIED	"ROHDE & SCHWARZ USA, INC."
CERTIFIED	BLUEPRINT STUDIOS
CERTIFIED	"PROENZA SCHOULER, LLC"
CERTIFIED-WITHDRAWN	"NATIONAL OILWELL VARCO, L.P."
CERTIFIED	"THE GAP, INC."
CERTIFIED	LARSEN & TOUBRO INFOTECH LIMITED
CERTIFIED	"SATURN WIRELESS CONSULTING, LLC"
CERTIFIED	FERROTEC (USA) CORPORATION
CERTIFIED	GOLDEN GATE SCENIC STEAMSHIP CORPORATION
WITHDRAWN	"MERKOLAT OF FLORIDA, INC."
CERTIFIED	ABB INC.
CERTIFIED	SALESFORCE.COM INC.
CERTIFIED	"BRADY USA, INC."
CERTIFIED	M&C HOTEL INDUSTRIES INC.
CERTIFIED	"MERKOLAT OF FLORIDA, INC."
CERTIFIED	IT AMERICA INC
CERTIFIED	"DEPUY SYNTHES SALES, INC."
CERTIFIED	LARSEN & TOUBRO INFOTECH LIMITED
CERTIFIED	IGATE TECHNOLOGIES INC.
CERTIFIED	MIAMI SUNNY INC
CERTIFIED	"NICOPANDA, INC."
CERTIFIED	E.F. JOHNSON COMPANY
CERTIFIED	BRAND FRONTIERS LTD.
CERTIFIED	WACOM TECHNOLOGY CORPORATION
CERTIFIED	DSM FOOD SPECIALTIES USA INC.
CERTIFIED	DELL MARKETING L.P.
CERTIFIED	"COMSCORE, INC."
CERTIFIED	"3I INFOTECH, INC."
CERTIFIED	M&C HOTEL INTERESTS INC.
CERTIFIED	"WRIST NORTH AMERICA, INC."
CERTIFIED	TURN INC.
CERTIFIED	NIAGARA BOTTLING LLC
CERTIFIED	STRYKER CORPORATION
CERTIFIED	IBM CORPORATION
CERTIFIED	"NICOPANDA, INC."
CERTIFIED	FRIENDWELL MANAGEMENT USA LLC
CERTIFIED	"RICHEMONT NORTH AMERICA, INC."
CERTIFIED	"GARTNER, INC."
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS
CERTIFIED	"AOL, INC."
CERTIFIED	MODANI DALLAS LLC
CERTIFIED	WARNER BROS. HOME ENTERTAINMENT INC.
CERTIFIED	"ELEMENT TECHNOLOGIES, INC."
CERTIFIED	VERVEBA TELECOM LLC
CERTIFIED	"COLINDA INTERNATIONAL, INC."
CERTIFIED	FERRETTI GROUP OF AMERICA LLC
CERTIFIED	ARTECH INFORMATION SYSTEMS LLC
CERTIFIED	"VIGNA SOLUTIONS, INC."
CERTIFIED	KERRY INC.
CERTIFIED	BLENTECH CORPORATION
CERTIFIED	"DIAMOND CRYSTAL BRANDS, INC."
DENIED	"SOFTWARE WORX, INC"
CERTIFIED	LARSEN & TOUBRO INFOTECH LIMITED
CERTIFIED	"EMERSON PROCESS MANAGEMENT VALVE AUTOMATION, INC."
DENIED	RESQUME INC
CERTIFIED	"HARMAN CONNECTED SERVICES, INC."
CERTIFIED	"SOURCE HEALTHCARE ANALYTICS, LLC, A SYMPHONY HEALTH SOLUTIONS COMPANY"
CERTIFIED	"33RD STRIKE GROUP, LLC"
CERTIFIED	"GATES E&S NORTH AMERICA, INC."
CERTIFIED	"PERSISTENT SYSTEMS, INC."
CERTIFIED	SALESFORCE.COM INC.
CERTIFIED	"MEDIAMATH, INC."
CERTIFIED	RESQME INC
CERTIFIED	"GLOBANT, LLC"
CERTIFIED	"INTRALOX, LLC"
CERTIFIED	"SOFTWARE WORX, INC"
CERTIFIED-WITHDRAWN	ORION SYSTEMS INTEGRATORS LLC
CERTIFIED	ADOBE SYSTEMS INCORPORATED
CERTIFIED	"TRANSNATIONAL FOODS, INC."
CERTIFIED	"TECH MAHINDRA (AMERICAS), INC."
CERTIFIED	"DISPATCH TECHNOLOGIES, INC."
CERTIFIED	SHOEZOO.COM LLC
CERTIFIED	"BRILLIO, LLC"
CERTIFIED	"INNOCORE SOLUTIONS, INC"
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	LAN CARGO S.A.
CERTIFIED	"LEE KUM KEE (USA), INC."
CERTIFIED	CAPGEMINI AMERICA INC
WITHDRAWN	"PERSISTENT SYSTEMS, INC."
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	WACOM TECHNOLOGY SERVICES
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
WITHDRAWN	"PERSISTENT SYSTEMS, INC."
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	"WESTERN DIGITAL TECHNOLOGIES, INC."
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	INTL FCSTONE INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	CAPGEMINI AMERICA INC
CERTIFIED	"PERSISTENT SYSTEMS, INC."
CERTIFIED	M&E ENTERPRISE LLC
CERTIFIED	"KERING EYEWEAR USA, INC."
CERTIFIED	MORRISON EXPRESS CORPORATION (U.S.A.)
CERTIFIED	TATA BUSINESS SUPPORT SERVICES INC.
CERTIFIED	ORION SYSTEMS INTEGRATORS LLC
CERTIFIED	"ADVANSTAR COMMUNICATIONS, INC."
CERTIFIED	"OKTA, INC."
CERTIFIED	"MARS, INCORPORATED"
CERTIFIED	"TECH MAHINDRA (AMERICAS), INC."
CERTIFIED	CALAMP WIRELESS NETWORKS CORPORATION
CERTIFIED	"LEE KUM KEE (USA), INC."
CERTIFIED	"KOMODO HEALTH, INC."
CERTIFIED	"SAKSOFT, INC."
CERTIFIED	"EDUN-AMERICAS, INC."
CERTIFIED	"HEINEKEN USA, INC."
DENIED	SHINAGAWA ADVANCED MATERIALS AMERICAS INC
CERTIFIED	"KOMODO HEALTH, INC."
CERTIFIED	"GLOBALLOGIC,INC."
CERTIFIED	"MANN+HUMMEL USA, INC."
CERTIFIED	"DAQRI, LLC"
CERTIFIED	READY RAZOR INCORPORATED
CERTIFIED	"CISCO SYSTEMS, INC."
CERTIFIED	MICROSOFT CORPORATION
CERTIFIED	EUROPEAN EQUITIES CORPORATION
DENIED	PROFESSIONALS FOR NONPROFITS
CERTIFIED	NIIT TECHNOLOGIES INC.
CERTIFIED	CRANE CO.
CERTIFIED	TECH MAHINDRA (AMERICAS) INC.
CERTIFIED	EVRYTHNG INC
CERTIFIED	"MONEYGRAM INTERNATIONAL, INC."
CERTIFIED	"ITC INFOTECH (USA), INC."
CERTIFIED	"PEPSICO, INC."
CERTIFIED	"ORACLE AMERICA, INC."
CERTIFIED	"TECH MAHINDRA (AMERICAS), INC."
CERTIFIED	"ALPHA TIRE, LLC"
CERTIFIED	EVRYTHNG INC
CERTIFIED	PROFESSIONALS FOR NONPROFITS
CERTIFIED	WNS NORTH AMERICA INC.
CERTIFIED	DC CORPORATION LLC
CERTIFIED	DC CORPORATION LLC
CERTIFIED	"IGT SOLUTIONS, INC."
DENIED	JAY PEAK INC
CERTIFIED	CABOT MICROELECTRONICS CORPORATION
CERTIFIED	KERRY INC.
CERTIFIED	NORTHWEST AEROSPACE TECHNOLOGIES INC.
CERTIFIED	VENUS LABORATORIES INC
CERTIFIED	"ITC INFOTECH (USA), INC."
CERTIFIED	PROJECT:TF
CERTIFIED	"MERKOLAT OF FLORIDA, INC."
CERTIFIED	FMC CORPORATION
CERTIFIED	"ADSWIZZ, INC."
CERTIFIED	"RIVERBED TECHNOLOGY, INC."
CERTIFIED-WITHDRAWN	"TELEFONICA USA, INC."
CERTIFIED	JAY PEAK INC
CERTIFIED	QUALITROL COMPANY LLC
CERTIFIED	WIND FINANCIAL INFORMATION LLC
CERTIFIED	"THYSSENKRUPP AUTOMOTIVE SYSTEMS OF AMERICA, LLC"
CERTIFIED	EVERSHINE JEWELERY REPAIRS INC
CERTIFIED	FMC CORPORATION
CERTIFIED	"SHANGHAI YUNGOAL INFO TECH (USA) CO., LTD."
CERTIFIED	"PERSISTENT SYSTEMS, INC."
CERTIFIED	EZENIUS INC
CERTIFIED	"METRO INSURANCE SERVICES, INC."
CERTIFIED	"SUNERA TECHNOLOGIES, INC"
CERTIFIED	MOGAS INDUSTRIES INC.
CERTIFIED	COPAL PARTNERS (US) INC.
CERTIFIED	"SOVEREIGN SYSTEMS, LLC"
CERTIFIED	"TATA TECHNOLOGIES, INC."
CERTIFIED	"ANHEUSER-BUSCH INBEV SERVICES, LLC"
CERTIFIED	THESAN USA CORP.
CERTIFIED	PARKER HANNIFIN CORPORATION
CERTIFIED	LAMEX FOODS INC
CERTIFIED	EARLY MORNING LLC
CERTIFIED	"X.COMMERCE, INC."
CERTIFIED	UHLMANN PACKAGING SYSTEMS LP
CERTIFIED	IT AMERICA INC
CERTIFIED	"3I INFOTECH, INC."
CERTIFIED	QUBOLE INC.
CERTIFIED	"SOVEREIGN SYSTEMS, LLC"
CERTIFIED	"FULLSTACK ACADEMY, INC."
CERTIFIED	KERRY INC.
CERTIFIED	"MYTHICS, INC."
WITHDRAWN	BLENTECH CORPORATION
CERTIFIED	BROTHER INTERNATIONAL CORPORATION
CERTIFIED	"ISPRING WATER SYSTEMS, LLC"
CERTIFIED	COSMOPOLITAN FOOD GROUP INC
WITHDRAWN	MOGAS INDUSTRIES INC.
CERTIFIED	DAWRA LLC
CERTIFIED	MOGAS INDUSTRIES INC.
CERTIFIED	"WILKINS MEDIA, LLC"
CERTIFIED	PARKER HANNIFIN CORPORATION
CERTIFIED	"SIEMENS ENERGY, INC."
CERTIFIED	"TAVANT TECHNOLOGIES, INC"
CERTIFIED	"INCEDO, INC."
CERTIFIED	"INFINITE COMPUTER SOLUTIONS, INC."
CERTIFIED	"DOCASAP, INC."
CERTIFIED	IT AMERICA INC
CERTIFIED	LATAM AIRLINES GROUP S.A.
CERTIFIED	"SPARTAN MOTORS, INC."
CERTIFIED	ACONEX (NORTH AMERICA) INC
CERTIFIED	WORLD TRADE CENTER FORT LAUDERDALE LLC
CERTIFIED	UMINA BROS INC
CERTIFIED	"KALE SOFTECH, INC."
CERTIFIED	"KALE SOFTECH, INC."
DENIED	SOUTHLAND ORTHO SOLUTION S
CERTIFIED	"NCS PEARSON, INC."
CERTIFIED	"INTERNATIONAL SOS ASSISTANCE, INC."
CERTIFIED	DEMYST DATA LTD.
CERTIFIED	MPHASIS CORPORATION
CERTIFIED	"ELASTICSEARCH, INC."
CERTIFIED-WITHDRAWN	RECEPTIONHQ LLC
CERTIFIED-WITHDRAWN	"RICOH USA, INC."
CERTIFIED-WITHDRAWN	"KAHUNA, INC."
